id	stem	gloss	part_of_speech	strongs_list
2506	path	(LDV) a path to walk or drive on	Noun	
2507	Pathrusite	(proper name) a descendant of Pathrusim (Gen. 10)	Noun	H6625
2508	Patmos	(proper name) the name of an island	Noun	
2509	pattern	(LDV) the regular way in which something happens, develops, or is done	Noun	G4964
2510	Pau	(proper name) city in Gen. 36:39	Noun	
2511	Paul	(proper name) the apostle	Noun	G4569,G4549
2512	Paulus	(proper name) name of a man in Avian Influenza	Noun	G3972
2513	payment	(LDV) money that you receive for doing work	Noun	H7939
2514	pea	(simple) a type of vegetable	Noun	
2515	peace	(LDV) the abstract quality of peace	Noun	G1515
2516	peace	(LDV) a situation in which there isn't a war or conflict	Noun	G1515
2517	peacock	(simple) a large bird, the males have long beautiful tail feathers	Noun	H8500
2518	pearl	(complex) small, round, white, valuable jewel	Noun	G3135
2519	Pedaiah	(proper name) a man's name	Noun	
2520	Pelaiah	(proper name) a man's name	Noun	
2521	Pelaliah	(proper name) a man's name	Noun	
2522	Pelatiah	(proper name) a man's name	Noun	
2523	Peleg	(proper name) the person (Luke 3)	Noun	H6389
2524	Pelet	(proper name) the name of a place	Noun	H6404
2525	Peleth	(proper name) the name of a region	Noun	H6431
2526	Pelethite	(proper name) a person from Peleth	Noun	
2527	pen	(LDV) the writing tool	Noun	H4356
2528	pen	(LDV) an enclosure for animals	Noun	H4356
2529	Peniel	(proper name) the place in Gen 32	Noun	
2530	Peniel	DELETE	Noun	
2531	Peninnah	(proper name) a woman's name	Noun	
2532	penis	a man's body part	Noun	H8212
2533	penny	(complex) a penny, smallest unit of money	Noun	
2534	Pentecost	(proper name) a Jewish religious holiday 50 days after Passover	Noun	G4005,G1207
2535	Penual	(proper name) a man's name	Noun	
2536	Peor	(proper name) the name of a place in Joshua 22:17	Noun	H3594,H1187
2537	Peres	DELETE	Noun	
2538	Perez	(proper name) son of Judah	Noun	
2539	Perez-Uzzah	(proper name) the name of a place	Noun	
2540	perfume	(complex) oil that smells good	Noun	H7002,H6988,H7543
2541	Perga	(proper name) the name of a city	Noun	
2542	Pergamum	(proper name) the name of a city	Noun	
2543	Perida	(proper name) a man's name	Noun	H6514
2544	period	(LDV) a period of time	Noun	G5550,G4012,G5148,G0165,G4137
2545	Perizzite	(proper name) a Perizzite person	Noun	H6522
2546	Persia	(proper name) the country	Noun	H6540,H0307,H0324,H0323,H6539
2547	Persia	(proper name) the nation	Noun	H6540,H0307,H0324,H0323,H6539
2548	person	(universal primitive) a human being	Noun	H1399
2549	person	includes people, God, and spirits	Noun	H1399
2550	person	refers only to members of the Trinity	Noun	H1399
2551	Peter	(proper name) a man's name	Noun	G2786
2552	Pethahiah	(proper name) a man's name	Noun	
2553	Pethuel	(proper name) a man's name	Noun	
2554	Phanuel	DELETE	Noun	
2555	Pharaoh	(complex) the title used by the kings of Egypt	Noun	
2556	Pharisee	(proper name) a Pharisee	Noun	
2557	Phicol	(proper name) the man in Gen 21	Noun	
2558	Philadelphia	(proper name) the name of a city	Noun	
2559	Philemon	(proper name) a man's name Philemon 1:1	Noun	G5371
2560	Philemon	(proper name) the name of the Bible book	Noun	G5371
2561	Philip	(proper name) the disciple	Noun	
2562	Philippi	(proper name) the place	Noun	G5374
2563	Philippians	(proper name) the name of the Bible book	Noun	
2564	Philistia	(proper name) the country of the Philistine people	Noun	
2565	Philistine	(proper name) a person from the Philistine people	Noun	H3430,H0276,H1555,H5598,H4582
2566	Phinehas	(proper name) a man's name in Judges 20:28	Noun	
2567	Phoenicia	(proper name) the name of a city	Noun	
2568	Phoenician	(proper name) a person from Phoenicia	Noun	H8542,H0842,H1168,H6253,H0856
2569	Phoenix	(proper name) the name of a city	Noun	
2570	Phrygia	(proper name) the name of a region	Noun	G3818
2571	Pi-Hahiroth	(proper name) the name of a place in Exodus 14:2	Noun	
2572	pick	(complex) a tool for digging in the ground	Noun	H3950,H2846,H4281
2573	picture	(LDV) a drawing or image of something	Noun	
2574	pigeon	(complex) a type of bird	Noun	G4058
2575	piece	(LDV) a small bit of something	Noun	G2801,H2789
2576	pig	(LDV) a pig	Noun	
2577	Pilate	(proper name) the Roman governor	Noun	
2578	Pildash	(proper name) man in Gen 22	Noun	H6394
2579	pile	(LDV) a large heap	Noun	H6187,H4596,H4071,H6652,H7277
2580	Pilha	(proper name) a man's name	Noun	
2581	pillar	(complex) a post that supports a roof or bridge	Noun	H0361
2582	pillar-Absalom	(proper name) the Pillar of Absalom, built by Absalom to honor himself	Noun	
2583	Piltai	(proper name) a man's name	Noun	
2584	Pinon	(proper name) man in Gen. 36:41	Noun	H6373
2585	Piram	(proper name) the name of a man in Joshua 10:3	Noun	H6502
2586	Pirathon	(proper name) the name of a town in Judges 12:13	Noun	H6553
2587	Pisgah	(proper name) the name of a region in Joshua 12:3	Noun	
2588	Pishon	(proper name) river in Gen. 2:11	Noun	
2589	Pisidia	(proper name) the name of a region	Noun	
2590	Pisidian-Antioch	(proper name) the name of a city	Noun	
2591	pistachio	(proper name) a type of nut	Noun	H0992
2592	pit	(complex) a hole	Noun	H1358,H1475,H6354,H7845,H0875
2593	pitcher	(complex) a container to hold a drink	Noun	G3582,G0501
2594	pitchfork	(complex) a tool for moving or tossing hay	Noun	
2595	Pithom	(proper name) the name of a city in Exodus 1:11	Noun	
2596	place	(universal primitive) generic word for a location	Noun	H3455,G5294,H3322,G2698,H8371
2597	plague	(complex) something that causes people to suffer for a period of time (Moses' 10 plagues)	Noun	G3061
2598	plain	(LDV) a large area of dry, flat land	Noun	G4271
2599	plain-Ono	(proper name) the name of a plain	Noun	
2600	plain-Sharon	(proper name) the plain of Sharon in Acts 9:35	Noun	
2601	plan	(LDV) a plan	Noun	H4209,G1917,H2154,H2161
2602	plant	(LDV) a plant	Noun	H3657,H5195,H5194
2603	plant-hyssop	(simple) a type of plant	Noun	
2604	plastic	(LDV) the material (e.g., plastic bag)	Noun	H4423
2605	plate	(LDV) something used to put food on	Noun	G4094
2606	platter	(complex) a large plate from which food is served	Noun	H6745
2607	pleasure	(LDV) a feeling of happiness, enjoyment, satisfaction	Noun	H2656,H5208,H5730
2608	plow	(complex) the tool that is used to plow a field	Noun	G0723,G0722
2609	pocket	(LDV) pouch in clothing	Noun	H2833,G2223,H2754
2610	poem	(LDV) a piece of writing that expresses emotions, experiences, and ideas, especially in short lines using words that rhyme	Noun	H7692,H4905,H5058,H4387,H4639
2611	point	(LDV) the sharp end of something, the tip of something sharp	Noun	G2759,G4743,H2303,H8150
2612	poison	(LDV) a substance that can cause death or serious illness	Noun	H0891
2613	Pokereth-Hazzebaim	(proper name) a man's name	Noun	
2614	pole	(LDV) a pole or post for holding city gates or heavy things	Noun	H8650,H4133
2615	pole	(LDV) a long and narrow cylindrical object usually made of wood or metal	Noun	H8650,H4133
2616	pomegranate	(complex) an orangish fruit with many small juicy seeds	Noun	H7416
2617	pond	(complex) a pond of water	Noun	G3041,H7813
2618	Pontius-Pilate	(proper name) a man's name, the Roman governor of Judea at the time of Jesus	Noun	
2619	Pontus	(proper name) the name of a region	Noun	G4193
2620	pool	(LDV) a container or hole that is filled with water	Noun	G0964,G4611,H5886,G1684
2621	pool-Siloam	(proper name) the name of a pool in Jerusalem	Noun	
2622	Poratha	(proper name) Esther 9:7-9	Noun	H6334
2623	porch	(simple) a place in front or back of a house covered with a roof	Noun	G4770
2624	Porcius-Festus	(proper name) a man's name	Noun	
2625	portion	(complex) a share of something that is divided among people (Psalm 16:5)	Noun	G3310
2626	possession	(LDV) a thing that someone owns	Noun	H4476,H4181,H4180,H4943
2627	post	(LDV) a big wooden beam in an upright position to hold a city gate	Noun	H7409,H5333,H4929,H4201,H4673
2628	pot	(LDV) something used to cook with	Noun	H1731,H3564,H5518
2629	Potiphar	(proper name) man in Gen. 37:36	Noun	H6318
2630	Potiphera	(proper name) man in Gen. 41:45	Noun	
2631	power	(LDV) political power	Noun	H0360,H8632,H2392,H1370,H6108
2632	power	(LDV) divine power to peform miracles, punish the wicked, etc.	Noun	H0360,H8632,H2392,H1370,H6108
2633	Praetorium	(proper name) the name of the Roman military's governor's headquarters	Noun	
2634	prayer	(LDV) the thing that is prayed	Noun	H1164,G4335
2635	present	(LDV) the present time as opposed to the past and future	Noun	G1390,H8641,G1435,H5083,H4991
2636	price	(LDV) the amount that needs to be paid to buy an item	Noun	H4119,H4242
2637	priest	(LDV) priest of God or a god	Noun	G2409
2638	prince	(complex) a king's son	Noun	H4502
2639	Prince-of-princes	(proper name) title for Jesus Christ in Daniel 8:25	Noun	
2640	princess	(complex) a king's daughter	Noun	
2641	Priscilla	(proper name) a woman's name	Noun	G4252
2642	prison	(LDV) a prison	Noun	H3628,H3608
2643	prisoner	(LDV) someone in jail or held captive	Noun	H0613,H0612,G1251,G4912,G4887
2644	prize	(LDV) a prize	Noun	G5091
2645	problem	(LDV) difficult circumstance	Noun	
2646	Procorus	(proper name) a man's name	Noun	
2647	profit	(LDV) money that you gain by trading things or working	Noun	G3683,H5504
2648	promise	(LDV) a promise or an oath	Noun	H5088,H5087,G4279
2649	property	(LDV) a house or land that someone owns	Noun	G2934,H7399
2650	prophecy	(complex) a statement that something will happen in the future	Noun	G5083,G5050
2651	prophet	(complex) a person who tells God's messages to people	Noun	H5029,H5030
2652	prostitute	(complex) a women who sells sex for money	Noun	H6948,G4205,H3611
2653	proverb	(complex) a wise saying, paired with 'word'	Noun	
2654	Proverbs	(proper name) the name of the Bible book	Noun	H0176
2655	province	(complex) a political entity, like a state	Noun	G3073,H3575,H4508,G3310,H5461
2656	Psalm	(proper name) this is used when referring to an individual Psalm.	Noun	G5568
2657	Psalms	(proper name) This is the name of the book	Noun	H4609,G5568,G5215
2658	Ptolemais	(proper name) the name of a town	Noun	
2659	Ptolemy-I-Soter	(proper name) king of Egypt	Noun	
2660	Ptolemy-II-Philadelphus	(proper name) king of Egypt	Noun	
2661	Ptolemy-III-Euergetes	(proper name) king of Egypt	Noun	
2662	Ptolemy-IV-Philopator	(proper name) king of Egypt	Noun	
2663	Ptolemy-V-Epiphanes	(proper name) king of Egypt	Noun	
2664	Ptolemy-VI-Philometor	(proper name) a king of Egypt	Noun	
2665	Puah	(proper name) the man in Gen. 46:13	Noun	H6312
2666	Publius	(proper name) a man's name	Noun	G4196
2667	punishment	(LDV) something that is done to punish a person	Noun	G3162,H5606,H5183,H3046,G3639
2668	pur	(proper name) the Hebrew word for 'lots'	Noun	
2669	Purah	(proper name) a man's name in Judges 7:10	Noun	
2670	Purim	(proper name) the feast celebrated by the Jews to commemorate the events in Esther	Noun	
2671	purpose	(LDV) what an activity or object is intended to achieve	Noun	H4156,H6246
2672	purse	(complex) a bag in which you keep money and/or other small things	Noun	G1101
2673	pus	(complex) dirty secretion from a wound	Noun	
2674	Put	(proper name) man in Gen 10	Noun	G1570,H6316,G2165,G0659,G2885
2675	Put	(proper name) the name of a country	Noun	G1570,H6316,G2165,G0659,G2885
2676	Puteoli	(proper name) the name of a town	Noun	
2677	Putiel	(proper name) a man's name in Exodus 6:25	Noun	
2678	Pyrrhus	(proper name) a man's name	Noun	
2679	quail	(complex) a kind of bird that people eat	Noun	H7958
2680	quality	(LDV) parts of one's character such as courage, faithfulness, intelligence, etc	Noun	G4052,G0052,G4053,G4119,H4932
2681	queen	(LDV) a king's wife	Noun	H7694,G0938,H4433,H4446,H4436
2682	question	(LDV) a question	Noun	G4441,G1331
2683	Quirinius	(proper name) the governor of Syria when Jesus was born (Luke 2:2)	Noun	
2684	Raamah	(proper name) man in Gen 10	Noun	
2685	Raamiah	(proper name) a man's name	Noun	
2686	Rabbah	(proper name) the name of a town in Joshua 13:25	Noun	H7237
2687	rabbi	title for a Jewish teacher	Noun	G3547,G4461
2688	Rabbith	(proper name) the name of a town in Joshua 19:20	Noun	
2689	Raca	an Aramaic term of contempt	Noun	
2690	race	(LDV) a contest to run quickly	Noun	G1408,H4794
2691	Rachel	(proper name) Jacob's wife	Noun	H7354,G4478
2692	rage	(complex) a strong feeling of uncontrolled anger	Noun	G3950,H7109,H3238
2693	Rahab	(proper name) a woman's name in Joshua 2:1	Noun	H7294
2694	rain	(LDV) the liquid that falls from the sky	Noun	H7241,G5205,H4306,G1028,H4305
2695	rainbow	(complex) rainbow	Noun	G2463
2696	raisin	(complex) a dried grape	Noun	
2697	Rakal	(proper name) the name of a town	Noun	
2698	Rakkath	(proper name) the name of a town in Joshua 19:35	Noun	
2699	Rakkon	(proper name) the name of a town in Joshua 19:46	Noun	
2700	Ram	(proper name) son of Hezron	Noun	H3532,H3733
2701	ram	(complex) a male sheep	Noun	H3532,H3733
2702	Ramah	(proper name) the name of a place in Judges 4:5	Noun	H7414
2703	Ramath-Lehi	(proper name) the name of a place in Judges 15:17	Noun	
2704	Ramath-Mizpah	(proper name) the name of a town in Joshua 13:26	Noun	
2705	Ramathaim	(proper name) the name of a place	Noun	
2706	Rameses	(proper name) the Egyptian city	Noun	
2707	Ramoth	(proper name) the name of a city in Joshua 20:8	Noun	H7216
2708	Ramoth-Negev	(proper name) the name of a town	Noun	
2709	Rapha	(proper name) a man's name	Noun	H7498
2710	Raphia	(proper name) the name of a city	Noun	
2711	rat	(LDV) a kind of small animal	Noun	H2661
2712	rattle	(simple) a musical instrument	Noun	H6750
2713	raven	(complex) the type of bird, no particular trait such as clever, dirty, etc.	Noun	H6158
2714	Reaiah	(proper name) a man's name	Noun	
2715	reason	(LDV) the reason something happened	Noun	G0158,H1700
2716	Reba	(proper name) a man's name in Joshua 13:21	Noun	H7254
2717	Rebekah	(proper name) wife of Isaac	Noun	
2718	rebel	(complex) a person who rebelled against the government	Noun	H4775,H4754
2719	reed	(complex) a plant like grass that grows very tall	Noun	G2563,H5488,H7070,H5748,H5489
2720	refuge	(complex) a place that provides shelter, or protection from danger (Proverbs 10:29)	Noun	H4224,H4563
2721	region	(complex) an area, place	Noun	H1367,H8485,H3603,H6516,H1552
2722	region-Akzib	(proper name) the name of a region in Joshua 19:29	Noun	
2723	Rehob	(proper name) the name of a city in Judges 1:31	Noun	
2724	Rehoboam	(proper name) a man's name	Noun	
2725	Rehoboth	(proper name) the well in Gen 26	Noun	
2726	Rehoboth-ir	(proper name) the city	Noun	
2727	Rehum	(proper name) a man's name	Noun	
2728	Rei	(proper name) a man's name	Noun	
2729	Rekab	(proper name) a man's name	Noun	H7394
2730	Rekem	(proper name) a man's name in Joshua 13:21	Noun	
2731	Rekem	(proper name) the name of a town in Joshua 18:27	Noun	
2732	relationship	(LDV) the way in which two people feel about each other (e.g., a good/bad/close relationship) takes an optional argument (John has a relationship with Mary.)	Noun	G4772
2733	relative	(LDV) a person who is related by blood or marriage	Noun	H2860,G4773
2734	religion	(LDV) a belief in God or gods	Noun	G1175
2735	Remeth	(proper name) the name of a town in Joshua 19:21	Noun	
2736	Rephaiah	(proper name) a man's name	Noun	
2737	Rephaite	(proper name) person of the Rephaites	Noun	
2738	Rephan	(proper name) a god's name	Noun	
2739	Rephidim	(proper name) the name of a place in Exodus 17:1	Noun	
2740	report	(LDV) a written or oral informative description of a situation or event (John prepared a report.)	Noun	H4926,H8089,G1310
2741	representative	(LDV) a person who has been chosen to speak for a group of people	Noun	G0499,G4243,H6754,G0076
2742	reptile	(complex) a type of animal whose body temperature changes according to the temperature around it	Noun	H7431,G2062
2743	Resen	(proper name) the city	Noun	
2744	rest	(LDV) a period of time when you are not doing anything tiring and you can relax or sleep	Noun	H4774,H7674,H2309,H5115,G1945
2745	result	(LDV) something that happens or exists because of something that happened before	Noun	G3877,H6118,G1519,H6580,G2443
2746	resurrection	(complex alternate) the event of someone being raised from the dead	Noun	G0386
2747	Reu	(proper name) the person (Luke 3)	Noun	H7466
2748	Reuben	(proper name) Jacob's son	Noun	H7205
2749	Reuben	(proper name) the name of a tribe	Noun	H7205
2750	Reuel	(proper name) person in Ex 2:18,also called Jethro.  Moses father-in-law	Noun	
2751	Reumah	(proper name) woman in Gen 22	Noun	H7208
2752	Revelation	(proper name) the name of the Bible book	Noun	H2378,H2384
2753	reward	(LDV) something that you get because you have done something good or helpful or have worked hard	Noun	G3415,G4295,H1309,H4909
2754	Rezin	(proper name) a man's name	Noun	
2755	Rhegium	(proper name) the name of a city	Noun	
2756	Rhesa	(proper name) the person (Luke 3)	Noun	
2757	Rhoda	(proper name) a woman's name	Noun	
2758	Rhodes	(proper name) the name of a city	Noun	
2759	rib	(complex) the curved bones that attach to the spine and protect the chest	Noun	H5967,H6763,G4125
2760	Ribai	(proper name) a man's name	Noun	
2761	riddle	(complex)  a question that is deliberately confusing, paired with 'story'	Noun	G4617
2762	right	(LDV) something that you are morally, legally, or officially allowed to do or have (Every person has certain rights.)	Noun	G1349,H3233,G3717,H3227,G1188
2763	righteousness	(complex alternate) the quality of being morally good and fair	Noun	
2764	Rimmon	(proper name) the name of a place in Judges 20:45	Noun	H7417
2765	Rimmon	(proper name) a man's name	Noun	H7417
2766	ring	(LDV) a metal ring used to fasten one thing to another thing - not a ring that is worn on a finger	Noun	H8449,H2397,G5525
2767	ring	(LDV) a metal band worn around a finger	Noun	H8449,H2397,G5525
2768	ring-nose	(simple) a ring worn in the nose	Noun	
2769	Riphath	(proper name) man in Gen 10	Noun	H7384
2770	river	(LDV) a river, body of water	Noun	G4216
2771	river-Abana	(proper name) a river in Syria mentioned in 2 Kings 5	Noun	
2772	river-Arnon	(proper name) Arnon river in Joshua 12:1	Noun	
2773	river-Euphrates	(proper name) the name of a river	Noun	
2774	river-Jabbok	(proper name) Jabbok river	Noun	
2775	river-Jordan	(proper name) the name of a river	Noun	
2776	river-Kishon	(proper name) the river	Noun	
2777	river-Nile	(proper name) the name of a river	Noun	
2778	river-Pharpar	(proper name) a river in Syria mentioned in 2 Kings 5:12	Noun	
2779	river-Shihor	(proper name) a river in Joshua 13:3	Noun	
2780	Rizpah	(proper name) a woman's name	Noun	
2781	road	(LDV) a specially prepared hard surface that people travel on	Noun	H0735,H1870,G3598
2782	robe	(complex) a type of clothing	Noun	H4598
2783	Rock	(proper name) a name for God	Noun	H2906,H6699,G2991,G4075,G2786
2784	rock-badger	(inexplicable) a small herbivorous mammal that lives in deserts; aka hyrax	Noun	
2785	rod	(complex) a stick used for disciplinary purposes	Noun	H8275,G4465
2786	Rodanite	(proper name) descendants of Rodanim (Gen. 10)	Noun	
2787	Rogelim	(proper name) the name of a town	Noun	
2788	Romans	(proper name) the name of the Bible book	Noun	G4607,H3794,G2804
2789	Rome	(proper name) the name of a city	Noun	
2790	Rome	(proper name) the nation	Noun	
2791	roof	(LDV) the top of a building	Noun	G4721,H1406,G4722
2792	room	(LDV) a room in a house	Noun	H3957,H8372,G5561,H7305
2793	room	(LDV) a big room for banquets and feasts	Noun	H3957,H8372,G5561,H7305
2794	rooster	(complex) adult male chicken, birds that crow and fight each other	Noun	
2795	root	(LDV) root of a plant	Noun	H8328,G4492,H8327
2796	rope	(LDV) thick string, used to tie things	Noun	H2256
2797	Rosh	(proper name) man in Gen. 46:21	Noun	
2798	row	(LDV) a line of things next to each other (a row of stones, a row of columns)	Noun	H7713,H2905
2799	Rufus	(proper name) a man's name	Noun	G4504
2800	rule	(LDV) an official instruction that states how something must be done	Noun	G2583,H4438,G2922,H4475,G2961
2801	ruler	(LDV) someone who has a lot of political power such as a king or queen	Noun	H4474,G1413,G4759
2802	rumor	(complex) information that may or may not be true	Noun	G2279,H8088,G5345,G0864
2803	Russia	(proper name) the country	Noun	
2804	rust	(complex) the reddish-brown substance that forms on iron or steel when it gets wet	Noun	G2447,G2728
2805	Ruth	(proper name) the woman in the book of Ruth	Noun	G4503,H7327
2806	Ruth	(proper name) the name of the Bible book	Noun	G4503,H7327
2807	Sabbath	(complex) the Sabbath day, the seventh day of the week	Noun	G4521
2808	Sabean	(proper name) a person from the country named Sabea	Noun	
2809	Sabtah	(proper name) man in Gen 10	Noun	H5454
2810	Sabteca	(proper name) man in Gen 10	Noun	H5455
2811	sackcloth	(complex) rough cloth; people wore clothes made of sackcloth while mourning	Noun	H6941,H6937
2812	sacrifice	(complex) the animal or grain that is sacrificed	Noun	H1685,G2378,H1684
2813	sacrifice-New-Moon	(key term) the New Moon sacrifice	Noun	
2814	saddle	(complex) something you put on an animal to sit on	Noun	H2280,H3733
2815	Sadducee	(proper name) a person who does not believe in spiritual life after physical death	Noun	
2816	sail	(LDV) a large piece of strong cloth attached to a boat so that the wind will push the boat	Noun	G4144,G3896,G5284,G1277,G1020
2817	saint	(complex) a term used for Christians	Noun	H6922,G2822,H4899,H6918,H2623
2818	Salamis	(proper name) the name of a city	Noun	
2819	Salekah	(proper name) the name of a city	Noun	
2820	Salem	(proper name) the place in Gen 14	Noun	
2821	Salim	(proper name) the name of a town	Noun	
2822	saliva	(simple) the liquid in a person's mouth	Noun	H7388,G4427
2823	Sallei	(proper name) a man's name	Noun	
2824	Sallu	(proper name) a man's name	Noun	H5543
2825	Salmon	(proper name) son of Nahshon, in genealogy if Jesus	Noun	
2826	Salmone	(proper name) the name of a point on an island	Noun	
2827	Salome	(proper name) a woman's name	Noun	
2828	salt	(LDV) the substance salt	Noun	H4416,G0217,G0233
2829	salvation	(complex alternate) the thing that we receive when God saves us from our sins	Noun	G4102,G0629,H6495,G2603,G4417
2830	salvation	(complex alternate) to be saved from your enemies or other dangers	Noun	G4102,G0629,H6495,G2603,G4417
2831	Samaria	(proper name) the place	Noun	G4542,H0170,H5571,G4541,H1723
2832	Samaritan	(proper name) a person from Samaria	Noun	H2900,H8124
2833	Samlah	(proper name) man in Gen. 36:36	Noun	H8072
2834	Samos	(proper name) the name of an island	Noun	G4543
2835	Samothrace	(proper name) the name of an island	Noun	
2836	Samson	(proper name) a man's name in Judges 13:1	Noun	
2837	Samuel	(proper name) the man's name, the prophet	Noun	
2838	Sanballat	(proper name) a man's name	Noun	H5571
2839	sand	(LDV) sand, such as found at the beach	Noun	H2344,G0285
2840	sandal	(complex) a sandal	Noun	H5274,G5266,H5275,G2438
2841	Sanhedrin	(proper name) the high court of the Jews	Noun	G4892,G4244,G1010,G1087
2842	Sansannah	(proper name) the name of a town in Joshua 15:31	Noun	
2843	Saph	(proper name) a man's name	Noun	H5593
2844	Sapphira	(proper name) a woman's name	Noun	
2845	Sarah	(proper name) the person	Noun	H8283
2846	Sarai	(proper name) woman in Genesis, Abraham's wife	Noun	H8297
2847	Sardis	(proper name) the name of a city	Noun	
2848	Sarid	(proper name) the name of a town in Joshua 19:10	Noun	
2849	Satan	(proper name) Satan	Noun	G4566
2850	Saul	(proper name) King Saul	Noun	G4549
2851	savior	(complex/complex alternate) a person that will save many people	Noun	
2852	saw	(complex) a tool for cutting wood	Noun	H4883,H4050,H7787,G1282,G4249
2853	saying	(complex) a well known short statement, paired with 'word'	Noun	G5345,G5334
2854	scale	(complex) an instrument for weighing things	Noun	H7193,H7827
2855	scepter	(complex) the stick held by a king	Noun	
2856	Sceva	(proper name) a man's name	Noun	
2857	school	(LDV) place where people are educated	Noun	G3807,G4981
2858	scorpion	(complex) a dangerous bug that can give a painful sting	Noun	H6137
2859	Scorpion-Pass	(proper name) a place in Judges 1:36	Noun	
2860	scribe	(complex) someone who teaches other people about the Old Testament laws	Noun	H5613
2861	scripture	(complex) God's book	Noun	G5440,G4042
2862	scroll	(complex) what people used instead of books in the OT times	Noun	G0380,H7080,G4428
2863	sea	(LDV) the sea, ocean	Noun	H3220,H4408,G2281
2864	Sea	(proper name) the name of an artifact in Solomon's temple	Noun	H3220,H4408,G2281
2865	sea-Aegean	(proper name) a sea between Greece and Turkey	Noun	
2866	sea-Arabah	(proper name) a sea south of the Dead Sea	Noun	
2867	sea-Dead	(proper name) the Dead Sea	Noun	
2868	sea-Galilee	(proper name) Sea of Galilee, the big lake that is in Galilee	Noun	
2869	sea-Mediterranean	(proper name) the name of the sea on Israel's west side	Noun	
2870	sea-Red	(proper name) the Red Sea that the Israelites passed through when leaving Egypt	Noun	
2871	sea-Tiberias	(proper name) the name of a sea	Noun	
2872	seah	(proper name) dry measure: 7.3 liters, 7 quarts	Noun	H5429
2873	seal	(complex) an official legal mark like a signature, paired with 'mark'	Noun	H2858,H2857,G2696
2874	season	(LDV) an anual period of time such as the harvest season	Noun	H4414,H2779,G4406,G3703,H5638
2875	seat	(LDV) a place to sit down	Noun	H4186,G1940,G2523,H8357,G4775
2876	Seba	(proper name) man in Gen 10	Noun	H5434
2877	second	(LDV) the unit of time, 1/60 of a minute	Noun	H5952,H8579,G1207,H8578
2878	secret	(LDV) a secret	Noun	G5588,H8587,H4710,G3466,H4301
2879	secretary	(LDV) a person who records meetings or writes letters for someone	Noun	
2880	Secundus	(proper name) a man's name	Noun	G4580
2881	seed	(LDV) a seed	Noun	G4691,H2233
2882	seed-coriander	(simple) a seed from a coriander plant	Noun	
2883	seed-mustard	(simple) a seed from a mustard tree	Noun	
2884	Seir	(proper name) place in Gen 32	Noun	
2885	Seir	(proper name) a man's name in Gen. 36:20	Noun	
2886	Seirah	(proper name) a place in Judges 3:26	Noun	
2887	seizure	(complex) a person loses control of his limbs (John had a seizure.)	Noun	G2897
2888	Sekakah	(proper name) the name of a town in Joshua 15:61	Noun	
2889	Seku	(proper name) the name of a place	Noun	
2890	Sela	(proper name) the name of a city in Judges 1:36	Noun	H5554
2891	Sela-Hammahlekoth	(proper name) the name of a place	Noun	
2892	Seleucia	(proper name) the name of a city	Noun	
2893	Seleucus-I-Nicator	(proper name) king of Babylonia	Noun	
2894	Seleucus-II-Callinicus	(proper name) king of Syria	Noun	
2895	Seleucus-III-Ceraunus	(proper name) king of Syria	Noun	
2896	Seleucus-IV-Philopator	(proper name) king of Syria	Noun	
2897	Semein	(proper name) the person (Luke 3)	Noun	
2898	semen	(simple) a male's fluid containing sperm	Noun	H2231,H4325
2899	Senaah	(proper name) the name of a place	Noun	
2900	Seneh	(proper name) the name of a place	Noun	H5573
2901	sentence	(LDV) a group of words that express a complete idea	Noun	H8201
2902	Sephar	(proper name) the city	Noun	
2903	Serah	(proper name) woman in Gen. 46:17	Noun	
2904	Seraiah	(proper name) a man's name	Noun	
2905	Sered	(proper name) man in Gen. 46:14	Noun	H5625
2906	Sergius-Paulus	(proper name) a man's name	Noun	
2907	Serug	(proper name) the person (Luke 3)	Noun	H8286
2908	servant	(LDV) a laborer not owned by a master (see slave), but strongly attached	Noun	H5649,H5650
2909	servant	(LDV) the Greek word for 'slave' is in the text, but the person's services are in focus rather than the bondage; NIV translates the Greek word with 'servant'	Noun	H5649,H5650
2910	set	(LDV) a set of things	Noun	H5732,G5568,G0649,H6983,H6186
2911	Seth	(proper name) son of Adam	Noun	G4589
2912	Shaalabbin	(proper name) the name of a town in Joshua 19:42	Noun	
2913	Shaalbim	(proper name) the name of a city in Judges 1:35	Noun	
2914	Shaalbon	(proper name) the name of a place	Noun	
2915	Shaalim	(proper name) the name of a place	Noun	
2916	Shaaraim	(proper name) the name of a town in Joshua 15:36	Noun	
2917	Shaaraim	(proper name) the name of a road	Noun	
2918	Shaashgaz	(proper name) eunuch of King Xerxes in Esther	Noun	H8190
2919	Shabbethai	(proper name) a man's name	Noun	H7678
2920	shadow	(LDV) the dark shape that something makes when it is between a light and a surface (e.g., John's shadow)	Noun	G4639
2921	Shadrach	(proper name) Hananiah's Babylonian name	Noun	
2922	Shahazumah	(proper name) the name of a town in Joshua 19:22	Noun	
2923	Shalisha	(proper name) the name of a place	Noun	
2924	Shallum	(proper name) a man's name	Noun	H7967
2925	Shallun	(proper name) a man's name	Noun	
2926	Shalmai	(proper name) a man's name	Noun	
2927	shame	(LDV) the feeling you have when you're guilty and embarrassed	Noun	H0955,G0152,H1322,G2617
2928	Shamgar	(proper name) a man's name in Judges 3:31	Noun	
2929	Shamir	(proper name) the name of a city in Judges 10:1	Noun	H8069
